MDXfind algo	hashes.org algo
MD5SHA1HAV160_4	MD5SHA1HAVAL160-4
MD5SHA1MD5SHA1MD5	(MD5SHA1)X2MD5
MD5RMD160	MD5RIPEMD160
MD5SHA1SHA256	MD5SHA1SHA256
SHA256SHA512	SHA256SHA512
MD5WRL	MD5WRL
MD5SHA1SHA1RAW	MD5SHA1RAWSHA1
MD5PASSMD5	MD5(PLAINMD5(PLAIN))
MD5PASSMD5	MD5(PLAININSDPMD5(PLAIN))
MD5-DBL-PASS	MD5(MD5(PLAIN)MD5X2(PLAIN))
MD5-DBL-PASS	MD5(MD5(PLAIN)INSDPMD5X2(PLAIN))
SHA1MD5SHA1MD5SHA1MD5	(SHA1MD5)X3
MD5SQL5	MD5MYSQL5TOT
SHA1SQL5	SHA1MYSQL5TOT
MD5MD5UCMD5	MD5UCMD5X2
RMD128MD5MD5	RIPEMD128MD5X2
MD5BASE64	MD5BASE64
MD5BASE64MD5	MD5BASE64MD5
MD5SHA1BASE64	MD5SHA1BASE64
MD5SHA1MD5BASE64	MD5SHA1MD5BASE64
SHA1BASE64	SHA1BASE64
MD5BASE64MD5RAW	MD5BASE64RAWMD5
MD5BASE64MD5RAW	MD5CUT0-22BASE64RAWMD5
MD5BASE64SHA1RAW	MD5BASE64RAWSHA1
SHA1BASE64MD5RAW	SHA1BASE64RAWMD5
SHA1BASE64SHA1RAW	SHA1BASE64RAWSHA1
MD5BASE64SHA1RAWMD5	MD5BASE64RAWSHA1MD5
MD5BASE64MD5RAWSHA1	MD5BASE64RAWMD5SHA1
MD5BASE64MD5RAWSHA1	MD5CUT0-22BASE64RAWMD5SHA1
MD5BASE64MD5RAWMD5	MD5BASE64RAWMD5X2
MD5BASE64MD5RAWMD5	MD5CUT0-22BASE64RAWMD5X2
MD5BASE64MD5RAWMD5MD5	MD5BASE64RAWMD5X3
MD5BASE64MD5RAWMD5MD5	MD5CUT0-22BASE64RAWMD5X3
MD5BASE64SHA1RAWBASE64SHA1RAW	MD5BASE64RAWSHA1BASE64RAWSHA1
MD5SHA1UCMD5	MD5UCSHA1MD5
SHA1SHA1u32	SHA1CUT0-32SHA1
MD5SHA1u32	MD5CUT0-32SHA1
SHA256SHA1	SHA256SHA1
MD5BASE64revMD5	MD5BASE64REVMD5
MD5revMD5MD5	MD5REVMD5X2
MD5BASE64MD5MD5	MD5BASE64MD5X2
MD5SQL5-40	MD5UCSHA1RAWSHA1
SHA1SQL5-40	SHA1UCSHA1RAWSHA1
MD5revSHA1	MD5REVSHA1
MD5USERIDMD5	MD5(SALTMD5(PLAIN))
MD5USERIDMD5MD5	MD5(SALTMD5X2(PLAIN))
MD5USERnulPASS	MD5(SALTNULLPLAIN)
MD5RADMIN2	MD5RADMIN2
MD5RADMIN2SHA1	MD5RADMIN2SHA1
RADMIN2MD5	RADMIN2MD5
RADMIN2MD5MD5	RADMIN2MD5X2
RADMIN2MD5UC	RADMIN2UCMD5
RADMIN2MD5SHA1	RADMIN2MD5SHA1
RADMIN2SHA1	RADMIN2SHA1
RADMIN2SQL5-40	RADMIN2UCSHA1RAWSHA1
RADMIN2BASE64	RADMIN2BASE64
RADMIN2SHA1MD5	RADMIN2SHA1MD5
RADMIN2SQL3	RADMIN2MYSQL3
RADMIN2MD5MD5MD5	RADMIN2MD5X3
MD5RADMIN2MD5	MD5RADMIN2MD5
MD51SALTMD5	MD5(SALTMD5(PLAIN))
MD51SALTMD5	MD5(SALTSALTMD5(PLAIN))
MD51SALTMD5	MD5(SALTMD5(PLAIN)SALT)
MD51SALTMD5	MD5(MD5(PLAIN)SALTSALT)
MD51SALTMD5	MD5(MD5(PLAIN)SALT)
SHA1RADMIN2	SHA1RADMIN2
SHA1RADMIN2MD5	SHA1RADMIN2MD5
SHA1RADMIN2BASE64	SHA1RADMIN2BASE64
MD5-MULTISALT	MD5(SALTMD5(MD5(SALTPLAIN)SALT)SALT)
MD52SALTMD5	MD5(CUT0-1(SALT)MD5(PLAIN)CUT1-1(SALT))
MD52SALTMD5	MD5(SALTMD5(PLAIN))
MD52SALTMD5	MD5(MD5(PLAIN)SALT)
MD51SALTMD5UC	MD5(SALTUCMD5(PLAIN))
MD51SALTMD5UC	MD5(UC(MD5(PLAIN))SALT)
MD51SALTMD5UC	MD5(SALTUC(MD5(PLAIN))SALT)
MD51SALTMD5UC	MD5(SALTSALTUCMD5(PLAIN))
MD51SALTMD5UC	MD5(UC(MD5(PLAIN))SALTSALT)
MD51SALTMD5MD5	MD5(SALTMD5(MD5(PLAIN)))
MD51SALTMD5MD5	MD5(MD5(MD5(PLAIN))SALT)
MD51SALTMD5MD5	MD5(SALTMD5(MD5(PLAIN))SALT)
MD51SALTMD5MD5	MD5(SALTSALTMD5(MD5(PLAIN)))
